"id";"kap_id";"kapitel";"tab_id";"tabelle";"jahr";"raum_id";"raum";"zei_id";"zeile";"quelle";"linktabellenkommentar";"zahl"
"080.013.2009.001.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"001";"Innenstadt";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"22.40"
"080.013.2009.001.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"001";"Innenstadt";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9.00"
"080.013.2009.001.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"001";"Innenstadt";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7.10"
"080.013.2009.001.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"001";"Innenstadt";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"0.90"
"080.013.2009.002.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"002";"Rodenkirchen";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"73.80"
"080.013.2009.002.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"002";"Rodenkirchen";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"32.00"
"080.013.2009.002.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"002";"Rodenkirchen";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"37.50"
"080.013.2009.002.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"002";"Rodenkirchen";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"12.20"
"080.013.2009.002.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"002";"Rodenkirchen";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"10.90"
"080.013.2009.002.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"002";"Rodenkirchen";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6.20"
"080.013.2009.002.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"002";"Rodenkirchen";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1.10"
"080.013.2009.003.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"003";"Lindenthal";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"79.80"
"080.013.2009.003.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"003";"Lindenthal";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"31.40"
"080.013.2009.003.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"003";"Lindenthal";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"37.80"
"080.013.2009.003.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"003";"Lindenthal";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"14.30"
"080.013.2009.003.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"003";"Lindenthal";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"11.40"
"080.013.2009.003.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"003";"Lindenthal";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"4.50"
"080.013.2009.003.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"003";"Lindenthal";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"0.60"
"080.013.2009.004.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"004";"Ehrenfeld";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"68.40"
"080.013.2009.004.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"004";"Ehrenfeld";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"36.00"
"080.013.2009.004.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"004";"Ehrenfeld";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"24.60"
"080.013.2009.004.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"004";"Ehrenfeld";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"21.30"
"080.013.2009.004.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"004";"Ehrenfeld";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7.80"
"080.013.2009.004.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"004";"Ehrenfeld";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9.00"
"080.013.2009.004.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"004";"Ehrenfeld";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1.20"
"080.013.2009.005.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"005";"Nippes";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"70.60"
"080.013.2009.005.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"005";"Nippes";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"36.40"
"080.013.2009.005.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"005";"Nippes";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"27.70"
"080.013.2009.005.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"005";"Nippes";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"18.10"
"080.013.2009.005.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"005";"Nippes";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8.30"
"080.013.2009.005.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"005";"Nippes";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8.30"
"080.013.2009.005.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"005";"Nippes";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1.20"
"080.013.2009.006.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"006";"Chorweiler";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"64.30"
"080.013.2009.006.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"006";"Chorweiler";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"35.00"
"080.013.2009.006.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"006";"Chorweiler";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"36.20"
"080.013.2009.006.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"006";"Chorweiler";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9.20"
"080.013.2009.006.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"006";"Chorweiler";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9.40"
"080.013.2009.006.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"006";"Chorweiler";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8.40"
"080.013.2009.006.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"006";"Chorweiler";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1.70"
"080.013.2009.007.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"007";"Porz";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"67.80"
"080.013.2009.007.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"007";"Porz";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"35.20"
"080.013.2009.007.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"007";"Porz";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"36.80"
"080.013.2009.007.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"007";"Porz";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8.30"
"080.013.2009.007.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"007";"Porz";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9.20"
"080.013.2009.007.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"007";"Porz";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8.30"
"080.013.2009.007.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"007";"Porz";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2.10"
"080.013.2009.008.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"008";"Kalk";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"62.50"
"080.013.2009.008.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"008";"Kalk";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"36.80"
"080.013.2009.008.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"008";"Kalk";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"33.20"
"080.013.2009.008.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"008";"Kalk";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"10.00"
"080.013.2009.008.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"008";"Kalk";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7.80"
"080.013.2009.008.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"008";"Kalk";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"10.00"
"080.013.2009.008.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"008";"Kalk";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2.20"
"080.013.2009.009.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"009";"Mülheim";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"65.70"
"080.013.2009.009.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"009";"Mülheim";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"39.30"
"080.013.2009.009.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"009";"Mülheim";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"31.00"
"080.013.2009.009.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"009";"Mülheim";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"11.20"
"080.013.2009.009.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"009";"Mülheim";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7.00"
"080.013.2009.009.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"009";"Mülheim";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9.00"
"080.013.2009.009.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"009";"Mülheim";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"2.40"
"080.013.2009.101.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"101";"Altstadt/Süd";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"72.50"
"080.013.2009.101.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"101";"Altstadt/Süd";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"34.80"
"080.013.2009.101.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"101";"Altstadt/Süd";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"26.60"
"080.013.2009.101.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"101";"Altstadt/Süd";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"20.30"
"080.013.2009.101.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"101";"Altstadt/Süd";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"9.80"
"080.013.2009.101.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"101";"Altstadt/Süd";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7.70"
"080.013.2009.101.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"101";"Altstadt/Süd";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"0.90"
"080.013.2009.102.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"102";"Neustadt/Süd";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"76.90"
"080.013.2009.102.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"102";"Neustadt/Süd";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"35.70"
"080.013.2009.102.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"102";"Neustadt/Süd";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"22.40"
"080.013.2009.102.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"102";"Neustadt/Süd";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"25.40"
"080.013.2009.102.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"102";"Neustadt/Süd";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8.50"
"080.013.2009.102.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"102";"Neustadt/Süd";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7.10"
"080.013.2009.102.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"102";"Neustadt/Süd";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"0.80"
"080.013.2009.103.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"103";"Altstadt/Nord";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"74.70"
"080.013.2009.103.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"103";"Altstadt/Nord";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"29.10"
"080.013.2009.103.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"103";"Altstadt/Nord";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"33.70"
"080.013.2009.103.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"103";"Altstadt/Nord";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"19.60"
"080.013.2009.103.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"103";"Altstadt/Nord";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"10.60"
"080.013.2009.103.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"103";"Altstadt/Nord";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6.10"
"080.013.2009.103.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"103";"Altstadt/Nord";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1.00"
"080.013.2009.104.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"104";"Neustadt/Nord";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"78.00"
"080.013.2009.104.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"104";"Neustadt/Nord";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"33.10"
"080.013.2009.104.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"104";"Neustadt/Nord";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"27.00"
"080.013.2009.104.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"104";"Neustadt/Nord";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"24.10"
"080.013.2009.104.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"104";"Neustadt/Nord";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8.70"
"080.013.2009.104.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"104";"Neustadt/Nord";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6.50"
"080.013.2009.104.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"104";"Neustadt/Nord";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"0.70"
"080.013.2009.105.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"105";"Deutz";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"74.90"
"080.013.2009.105.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"105";"Deutz";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"35.20"
"080.013.2009.105.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"105";"Deutz";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"28.90"
"080.013.2009.105.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"105";"Deutz";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"18.20"
"080.013.2009.105.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"105";"Deutz";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"7.80"
"080.013.2009.105.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"105";"Deutz";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"8.50"
"080.013.2009.105.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"105";"Deutz";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"1.40"
"080.013.2009.201.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"201";"Bayenthal";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"76.40"
"080.013.2009.201.020";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"201";"Bayenthal";"20";"  SPD";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"32.80"
"080.013.2009.201.030";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"201";"Bayenthal";"30";"  CDU";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"33.90"
"080.013.2009.201.040";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"201";"Bayenthal";"40";"  GRÜNE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"15.60"
"080.013.2009.201.050";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"201";"Bayenthal";"50";"  FDP";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"10.90"
"080.013.2009.201.060";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"201";"Bayenthal";"60";"  DIE LINKE";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"6.00"
"080.013.2009.201.090";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"201";"Bayenthal";"90";"  Sonstige";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"0.90"
"080.013.2009.202.010";"080";"Politische Verhältnisse";"013";"Bundestagswahl 27.09.2009, Erststimme";"2009";"202";"Marienburg";"10";"Wahlbeteiligung";"Stadt Köln - Amt für Stadtentwicklung und Statistik - Informationsservice";;"78.60"
